source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7
1,Table S1 Sampling collection information in this study,,,,,,
2,Section,Series,Species,ID,Voucher,Herbarium,Locality
3,Macroceras,/,E. koreanum Nakai,JS74,C. Zhang Zhang304,BNU,"China, Liangning, Xinbing"
4,Diphyllon,Dolichocerae,E. acuminatum Franchet,JS48,C. Zhang Zhang233,BNU,"China, Sichuan, Emei"
5,Diphyllon,Dolichocerae,E. baojingense Q.L. Chen & B.M. Yang,JS15,C. Zhang Zhang307,BNU,"China, Hunan, Longshan"
6,Diphyllon,Dolichocerae,E. baojingense Q.L. Chen & B.M. Yang,JS16,C. Zhang Zhang306,BNU,"China, Hunan, Fenghuang"
7,Diphyllon,Dolichocerae,E. baojingense Q.L. Chen & B.M. Yang,JS17,C. Zhang Zhang167,BNU,"China, Hubei, Wufeng"
8,Diphyllon,Dolichocerae,E. baojingense Q.L. Chen & B.M. Yang,JS21,C. Zhang Zhang204,BNU,"China, Hunan, Suining"
9,Diphyllon,Dolichocerae,E. baojingense Q.L. Chen & B.M. Yang,JS23,C. Zhang Zhang207,BNU,"China, Hunan, Yongshun"
10,Diphyllon,Dolichocerae,E. baojingense Q.L. Chen & B.M. Yang,JS34,C. Zhang Zhang208,BNU,"China, Hunan, Yongshun"
11,Diphyllon,Brachycerae,E. borealiguizhouense S.Z. He & Y.K. Yang,JS38,C. Zhang Zhang215,BNU,"China, Chongqing, Youyang"
12,Diphyllon,Brachycerae,E. brevicornu Maximowicz,JS64,C. Zhang Zhang201,BNU,"China, Shanxi, Luonan"
13,Diphyllon,Campanulatae,E. campanulatum Ogisu,JS03,C. Zhang Zhang274,BNU,"China, Sichuan, Dujiangyan"
14,Diphyllon,Dolichocerae,E. chlorandrum Stearn,JS51,C. Zhang Zhang283,BNU,"China, Sichuan, Baoxing"
15,Diphyllon,Brachycerae,E. coactum H.R. Liang,JS40,C. Zhang Zhang205,BNU,"China, Hunan, Huitong"
16,Diphyllon,Brachycerae,"E. daiguii C. Zhang, B.L. Guo & Q.R. Liu",JS44,C. Zhang Zhang214,BNU,"China, Hunan, Longshan"
17,Diphyllon,Davidianae,E. davidii Franchet,JS04,C. Zhang Zhang282,BNU,"China, Sichuan, Baoxing"
18,Diphyllon,Brachycerae,E. dolichostemon Stearn,JS46,C. Zhang Zhang219,BNU,"China, GuiZhou, Dejiang"
19,Diphyllon,Campanulatae,E. ecalcaratum G.Y. Zhong,JS02,C. Zhang Zhang280,BNU,"China, Sichuan, Baoxing"
20,Diphyllon,Brachycerae,E. elachyphyllum Stearn,JS31,C. Zhang Zhang218,BNU,"China, GuiZhou, Songtao"
21,Diphyllon,Dolichocerae,E. elongatum Komarov,JS70,C. Zhang Zhang287,BNU,"China, Sichuan, Kangding"
22,Diphyllon,Davidianae,E. fangii Stearn,JS05,C. Zhang Zhang234,BNU,"China, Sichuan, Emei"
23,Diphyllon,Brachycerae,E. fargesii Franchet,JS45,C. Zhang Zhang190,BNU,"China, Hubei, Shennongjia"
24,Diphyllon,Davidianae,E. flavum Stearn,JS06,C. Zhang Zhang289,BNU,"China, Sichuan, Tianquan"
25,Diphyllon,Dolichocerae,E. franchetii Stearn,JS08,C. Zhang Zhang196,BNU,"China, Hubei, Shennongjia"
