s9_source_row,s9_label,taxon_normalized,reported_id,reconciled_id,s1_source_row,join_status,sepal_code,spur_code,s4_code_agreement
3,E.  daiguii JS44,Epimedium daiguii,JS44,JS44,16,EXACT_ID_AND_TAXON,2,4,True
4,E.  myrianthum JS36,Epimedium myrianthum,JS36,JS36,38,EXACT_ID_AND_TAXON,0,1,True
5,E.  truncatum JS32,Epimedium truncatum,JS32,JS32,55,EXACT_ID_AND_TAXON,0,1,True
6,E.  mikinorii JS30,Epimedium mikinorii,JS30,JS30,37,EXACT_ID_AND_TAXON,3,3,True
7,E.  hunanense JS28,Epimedium hunanense,JS28,JS28,26,EXACT_ID_AND_TAXON,2,1,True
8,E.  elachyphyllum JS31,Epimedium elachyphyllum,JS31,JS31,20,EXACT_ID_AND_TAXON,2,4,True
9,E.  borealiguizhouense JS38,Epimedium borealiguizhouense,JS38,JS38,11,EXACT_ID_AND_TAXON,2,4,True
10,E.  coactum JS40,Epimedium coactum,JS40,JS40,15,EXACT_ID_AND_TAXON,0,1,True
11,E.  dolichostemon JS46,Epimedium dolichostemon,JS46,JS46,18,EXACT_ID_AND_TAXON,3,3,True
12,E.  wushanense JS19,Epimedium wushanense,JS19,JS19,56,EXACT_ID_AND_TAXON,1,1,True
13,E.  fargesii JS45,Epimedium fargesii,JS45,JS45,23,EXACT_ID_AND_TAXON,3,3,True
14,E.  tianmenshanense JS24,Epimedium tianmenshanense,JS24,JS24,54,EXACT_ID_AND_TAXON,1,1,True
15,E.  baojingense JS16,Epimedium baojingense,JS16,JS16,6,EXACT_ID_AND_TAXON,1,1,True
16,E.  franchetii JS08,Epimedium franchetii,JS08,JS08,25,EXACT_ID_AND_TAXON,1,1,True
17,E.  zhushanense JS10,Epimedium zhushanense,JS10,JS10,59,EXACT_ID_AND_TAXON,3,3,True
18,E.  sutchuenense JS25,Epimedium sutchuenense,JS25,JS25,53,EXACT_ID_AND_TAXON,2,2,True
19,E.  ilicifolium JS12,Epimedium ilicifolium,JS12,JS12,28,EXACT_ID_AND_TAXON,1,1,True
20,E.  leptorrhizum JS55,Epimedium leptorrhizum,JS55,JS55,30,EXACT_ID_AND_TAXON,2,2,True
21,E.  shennongjiaense S26,Epimedium shennongjiaense,S26,JS26,47,EXPLICIT_S26_TO_JS26_WITH_MATCHED_TAXON,2,2,True
22,E.  simplicifolium JS50,Epimedium simplicifolium,JS50,JS50,49,EXACT_ID_AND_TAXON,3,3,True
23,E.  ecalcaratum JS02,Epimedium ecalcaratum,JS02,JS02,19,EXACT_ID_AND_TAXON,2,1,True
24,E.  davidii JS04,Epimedium davidii,JS04,JS04,17,EXACT_ID_AND_TAXON,2,1,True
25,E.  fangii JS05,Epimedium fangii,JS05,JS05,22,EXACT_ID_AND_TAXON,2,1,True
26,E.  flavum JS06,Epimedium flavum,JS06,JS06,24,EXACT_ID_AND_TAXON,1,1,True
27,E.  campanulatum JS03,Epimedium campanulatum,JS03,JS03,13,EXACT_ID_AND_TAXON,2,1,True
28,E.  xichangense JS67,Epimedium xichangense,JS67,JS67,57,EXACT_ID_AND_TAXON,2,1,True
29,E.  elongatum JS70,Epimedium elongatum,JS70,JS70,21,EXACT_ID_AND_TAXON,2,1,True
30,E.  pauciflorum JS11,Epimedium pauciflorum,JS11,JS11,41,EXACT_ID_AND_TAXON,0,0,True
31,E.  qingchengshanense JS47,Epimedium qingchengshanense,JS47,JS47,44,EXACT_ID_AND_TAXON,3,3,True
32,E.  ogisui JS07,Epimedium ogisui,JS07,JS07,40,EXACT_ID_AND_TAXON,0,0,True
33,E.  membranaceum JS52,Epimedium membranaceum,JS52,JS52,35,EXACT_ID_AND_TAXON,2,1,True
34,E.  acuminatum JS48,Epimedium acuminatum,JS48,JS48,4,EXACT_ID_AND_TAXON,3,3,True
35,E.  pubescens JS69,Epimedium pubescens,JS69,JS69,43,EXACT_ID_AND_TAXON,0,1,True
36,E.  brevicornu JS64,Epimedium brevicornu,JS64,JS64,12,EXACT_ID_AND_TAXON,0,1,True
37,E.  elatum (outgroup),Epimedium elatum,,,,AUTHOR_SUBSTITUTED_OUTGROUP_NOT_SAME_GENOMIC_TIP,1,1,NOT_APPLICABLE
