taxon,colour_state,section,n_points,bio6_q05,max_abs_loo_q05_change_C,median_abs_loo_q05_change_C,provisional_minimum_gate_n20_loo1C,provisional_strong_gate_n40_loo0_5C,minimum_gate_reason,strong_gate_reason
Camellia brevistyla,A,sect. Paracamellia,80,-0.31499999999994344,0.3349999999999594,0.06500000000000028,True,True,pass,pass
Camellia chekiangoleosa,A,Sect. Camellia;sect. Camellia,43,0.06000000000001359,0.09000000000002051,0.005000000000001122,True,True,pass,pass
Camellia edithae,A,sect. Camellia,23,2.880000000000024,0.3250000000000113,0.015000000000000568,True,False,pass,n_points_lt_40
Camellia hongkongensis,A,Sect. Camellia;sect. Camellia,13,4.410000000000037,0.6449999999999898,0.00500000000000167,False,False,n_points_lt_20,n_points_lt_40
Camellia japonica,A,Sect. Camellia;sect. Camellia,79,-4.779999999999944,0.1999999999999913,0.015000000000000568,True,True,pass,pass
Camellia lapidea,A,sect. Camellia,42,1.065000000000012,0.2850000000000108,0.015000000000000568,True,True,pass,pass
Camellia lucidissima,A,sect. Paracamellia,9,0.7500000000000266,1.0399999999999885,0.07499999999999929,False,False,n_points_lt_20,n_points_lt_40
Camellia mairei,A,sect. Paracamellia,76,-0.499999999999968,0.7399999999999878,0.049999999999998934,True,False,pass,q05_loo_gt_0_5C
Camellia pitardii var. yunnanica,A,sect. Camellia,5,-0.4699999999999749,0.35999999999999943,0.009999999999999787,False,False,n_points_lt_20,n_points_lt_40
Camellia polyodonta,A,Sect. Camellia;sect. Camellia,80,0.3350000000000239,0.11500000000000199,0.005000000000000782,True,True,pass,pass
Camellia reticulata,A,Sect. Camellia;sect. Camellia,80,-4.104999999999961,0.2049999999999983,0.015000000000000568,True,True,pass,pass
Camellia saluenensis,A,sect. Camellia,69,-3.8499999999999535,1.569999999999994,0.12499999999999911,False,False,q05_loo_gt_1C,q05_loo_gt_0_5C
Camellia semiserrata,A,sect. Camellia,39,0.10500000000002197,0.19500000000000295,0.010000000000000009,True,False,pass,n_points_lt_40
Camellia subintegra,A,sect. Paracamellia,5,0.790000000000024,0.15000000000000213,0.010000000000000009,False,False,n_points_lt_20,n_points_lt_40
Camellia chrysanthoides,W,sect. Chrysantha,5,8.81000000000002,0.29999999999999893,0.02999999999999936,False,False,n_points_lt_20,n_points_lt_40
Camellia confusa,W,sect. Thea,10,2.910000000000026,4.959999999999983,0.43999999999999684,False,False,n_points_lt_20,n_points_lt_40
Camellia cordifolia,W,sect. Theopsis,21,8.55,0.049999999999998934,0.0,True,False,pass,n_points_lt_40
Camellia costei,W,sect. Paracamellia,36,3.215000000000032,0.4349999999999916,0.03500000000000014,True,False,pass,n_points_lt_40
Camellia crapnelliana,W,sect. Camellia,80,5.150000000000028,0.20000000000000284,0.015000000000000568,True,True,pass,pass
Camellia crassicolumna,W,sect. Thea,9,-0.30999999999997496,2.2499999999999987,0.02999999999999936,False,False,n_points_lt_20,n_points_lt_40
Camellia drupifera,W,sect. Camellia,80,5.470000000000028,0.23000000000000398,0.010000000000000675,True,True,pass,pass
Camellia fluviatilis,W,sect. Thea,14,3.5100000000000247,0.6799999999999997,0.020000000000000018,False,False,n_points_lt_20,n_points_lt_40
Camellia formosensis,W,sect. Theopsis,10,6.745000000000026,1.9849999999999905,0.15500000000000025,False,False,n_points_lt_20,n_points_lt_40
Camellia furfuracea,W,sect. Furfuracea,22,4.575000000000029,0.28500000000000014,0.020000000000000018,True,False,pass,n_points_lt_40
Camellia grijsii,W,sect. Theopsis,80,3.740000000000028,0.23999999999999932,0.015000000000000124,True,True,pass,pass
Camellia hengchunensis,W,sect. Camellia,13,8.410000000000025,0.360000000000003,0.03000000000000025,False,False,n_points_lt_20,n_points_lt_40
Camellia kissii,W,sect. Paracamellia,80,4.060000000000028,0.12000000000000188,0.010000000000000231,True,True,pass,pass
