metric,state1,state2,n_state1,n_state2,mean_state1,mean_state2,difference_state1_minus_state2,two_sided_p,one_sided_p_state1_lower,test_method,n_permutations,total_label_combinations
bio1_median,A,W,14,35,18.900000000000038,18.698571428571466,0.20142857142857262,0.7461525384746153,0.6265537344626554,monte_carlo_seed_20260815,100000,675248872536
bio1_median,A,Y,14,2,18.900000000000038,21.375000000000043,-2.475000000000005,0.075,0.05,exact,120,120
bio1_median,W,Y,35,2,18.698571428571466,21.375000000000043,-2.676428571428577,0.07507507507507508,0.042042042042042045,exact,666,666
bio6_median,A,W,14,35,4.364285714285749,4.83714285714289,-0.47285714285714153,0.5856941430585694,0.2988270117298827,monte_carlo_seed_20260815,100000,675248872536
bio6_median,A,Y,14,2,4.364285714285749,9.100000000000037,-4.735714285714288,0.025,0.025,exact,120,120
bio6_median,W,Y,35,2,4.83714285714289,9.100000000000037,-4.262857142857147,0.04354354354354354,0.04354354354354354,exact,666,666
bio6_q05,A,W,14,35,-2.9032142857142513,-1.894714285714252,-1.0084999999999993,0.5273247267527325,0.2601573984260157,monte_carlo_seed_20260815,100000,675248872536
bio6_q05,A,Y,14,2,-2.9032142857142513,-0.8024999999999749,-2.1007142857142764,0.6666666666666666,0.375,exact,120,120
bio6_q05,W,Y,35,2,-1.894714285714252,-0.8024999999999749,-1.092214285714277,0.7642642642642643,0.4174174174174174,exact,666,666
bio1_iqr,A,W,14,35,2.9107142857142836,3.038571428571433,-0.12785714285714946,0.7478725212747873,0.3791062089379106,monte_carlo_seed_20260815,100000,675248872536
bio1_iqr,A,Y,14,2,2.9107142857142836,1.7125000000000057,1.198214285714278,0.3,0.85,exact,120,120
bio1_iqr,W,Y,35,2,3.038571428571433,1.7125000000000057,1.3260714285714274,0.1261261261261261,0.9384384384384384,exact,666,666
