candidate_id,doi_or_resolved_doi,year,title,decision,independence_cluster,new_independent_directional_afcp_cluster,candidate_free_addition,reason
CCD001,10.1002/pca.2777,2018,Deep eutectic solvents used as extraction solvent for the determination of flavonoids from Camellia oleifera flowers by high-performance liquid chromatography,exclude_no_directional_transcript,COLEIFERA_CHEMISTRY,no,no,flower extraction/HPLC method; no colour-direction transcript contrast
CCD002,10.1007/s11105-012-0519-2,2013,De novo characterization of leaf transcriptome using 454 sequencing and development of EST-SSR markers in tea (Camellia sinensis),exclude_nonflower_tissue,CSIN_VEGETATIVE,no,no,leaf transcriptome/EST-SSR resource
CCD003,10.1007/s11816-008-0079-y,2009,Characterization of dihydroflavonol 4-reductase cDNA in tea [Camellia sinensis (L.) O. Kuntze],auxiliary_functional_no_colour_contrast,CSIN_DFR,no,no,DFR cDNA characterization; no matched flower-colour transition
CCD004,10.1016/j.jchromb.2016.01.064,2016,Quantification of flavonol glycosides in Camellia sinensis by MRM mode of UPLC-QQQ-MS/MS,exclude_nonflower_colour_contrast,CSIN_CHEMISTRY,no,no,flavonol quantification in tea; no directed petal colour transcript contrast
CCD005,10.1016/j.phytochem.2008.03.014,2008,Anthocyanins from red flowers of Camellia cultivar ‘Dalicha’,auxiliary_chemistry_same_genus,CJAPONICA_CULTIVAR_CHEMISTRY,no,no,red-flower anthocyanin chemistry; no transcript state
CCD006,10.1016/j.plaphy.2021.09.006,2021,Temporal transcriptome profiling reveals candidate genes involved in cold acclimation of Camellia japonica (Naidong),exclude_nonflower_trait,CJAPONICA_COLD,no,no,"cold acclimation transcriptome, not flower colour"
CCD007,10.1016/j.scienta.2023.112338,2023,CsMYBPA1-CsGSTU18 interaction plays an important role in anthocyanin metabolism regulation in tea plant (Camellia sinensis),exclude_nonflower_colour,CSIN_VEGETATIVE,no,no,"tea anthocyanin regulatory interaction, not a flower/petal colour transition"
CCD008,10.1016/j.scienta.2023.112784,2024,A light responsive transcription factor CsbHLH89 positively regulates anthocyanidin synthesis in tea (Camellia sinensis),exclude_nonflower_colour,CSIN_VEGETATIVE,no,no,"light-responsive tea anthocyanidin regulator, not flower/petal colour transition"
CCD009,10.1038/s41438-021-00545-8,2021,CsbZIP1-CsMYB12 mediates the production of bitter-tasting flavonols in tea plants (Camellia sinensis) through a coordinated activator–repressor network,exclude_nonflower_colour,CSIN_VEGETATIVE,no,no,"tea flavonol taste network, not flower colour"
CCD010,10.1038/s41598-017-18133-z,2018,Isolation and characterization of key genes that promote flavonoid accumulation in purple-leaf tea (Camellia sinensis L.),exclude_nonflower_tissue,CSIN_PURPLE_LEAF,no,no,"purple-leaf tea, not flower"
