figure_id,input_id,scenario,topology_or_mode,metric,value_min,value_max,p_value,result_id,source_ref
FigS1,S1_STRICT_ASTRAL_W,strict,ASTRAL_lengths,root_W_posterior,0.801,0.805,,H01_ACCEPTED_ROOT_W_FAVOURED_WITH_UNCERTAINTY,PR#53
FigS1,S1_STRICT_UNIT_W,strict,unit_edges,root_W_posterior,0.562,0.567,,H01_ACCEPTED_ROOT_W_FAVOURED_WITH_UNCERTAINTY,PR#53
FigS1,S1_DOM_ASTRAL_W,dominant,ASTRAL_lengths,root_W_posterior,0.864,0.871,,H01_ACCEPTED_ROOT_W_FAVOURED_WITH_UNCERTAINTY,PR#53
FigS1,S1_DOM_UNIT_W,dominant,unit_edges,root_W_posterior,0.626,0.647,,H01_ACCEPTED_ROOT_W_FAVOURED_WITH_UNCERTAINTY,PR#53
FigS2,S2_FAST_STRICT_Y_MPD,strict,FastTree,Y_MPD,,,0.00118,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
FigS2,S2_FAST_STRICT_Y_MNTD,strict,FastTree,Y_MNTD,,,0.00582,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
FigS2,S2_FAST_DOM_A_MPD,dominant,FastTree,A_MPD,,,0.000210,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
FigS2,S2_FAST_DOM_A_MNTD,dominant,FastTree,A_MNTD,,,0.00399,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
FigS2,S2_FAST_DOM_Y_MPD,dominant,FastTree,Y_MPD,,,0.000730,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
FigS2,S2_FAST_DOM_Y_MNTD,dominant,FastTree,Y_MNTD,,,0.00434,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
FigS2,S2_UF_STRICT_Y_MPD,strict,UFBoot,Y_MPD,,,0.00771,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
FigS2,S2_UF_STRICT_Y_MNTD,strict,UFBoot,Y_MNTD,,,0.00721,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
FigS2,S2_UF_DOM_A_MPD,dominant,UFBoot,A_MPD,,,0.00110,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
FigS2,S2_UF_DOM_A_MNTD,dominant,UFBoot,A_MNTD,,,0.0119,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
FigS2,S2_UF_DOM_Y_MPD,dominant,UFBoot,Y_MPD,,,0.00501,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
FigS2,S2_UF_DOM_Y_MNTD,dominant,UFBoot,Y_MNTD,,,0.00530,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
FigS3,S3_LEGACY_WA,legacy_93_tip,FastTree_rooted,robust_W_to_A_events,3,3,,S04_LEGACY_THREE_WA_BRANCHES,PR#44
FigS3,S3_TARGETED_STRICT,strict_targeted_audit,legacy_tree_refit,robust_W_to_A_events,0,0,,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#45
FigS3,S3_TARGETED_DOM,dominant_targeted_audit,legacy_tree_refit,robust_W_to_A_events,0,0,,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#45
FigS3,S3_ACCEPTED_STRICT,strict_accepted_species,WFO55,robust_W_to_A_events,0,0,,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#53
FigS3,S3_ACCEPTED_DOM,dominant_accepted_species,WFO55,robust_W_to_A_events,1,1,,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#53
FigS3,S3_ACCEPTED_SHARED,strict_x_dominant,WFO55,cross_scenario_robust_events,0,0,,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#53
