source_family,role,external_repo,external_commit,path,blob_sha,size_bytes,taxon_unit,scope,event_use,status,notes
ASTRAL,COALESCENT_SPECIES_TREE,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/ASTRAL/SpeciesAssigned/ASTRAL_SpeciesAssigned_pp_scored.treefile,04b4333e7a2e505e87dd321df1f4be88562ea4c4,1850,SPECIES,PCF_PLUS_OUTGROUPS,PRIMARY_TREE_SENSITIVITY,READY,"Species-assigned ASTRAL tree; do not equate this PCF-focused topology with the 60-taxon 2023 full Petunieae tree."
SVDQUARTETS,COALESCENT_SITE_PATTERN_TREE,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SVDQuartets/svdq_pfc.tre,b0d30333b066db555ee456fbff140d1577bbb807,765,SPECIES,PCF_PLUS_OUTGROUPS,SECOND_TREE_SENSITIVITY,READY,"Independent species-level topology sensitivity."
IQTREE,SUPERMATRIX_INDIVIDUAL_TREE,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/IQTree/SuperMatrix_PFCOut.partitions_iqtree.txt.contree,dbbe0ff0f352c6fc163f6c1a3117612bf0982984,4271,INDIVIDUAL,PCF_PLUS_OUTGROUPS,DIAGNOSTIC_ONLY_UNTIL_COLLAPSE,HOLD,"Three individuals are retained for most species; never use directly for species-level trait-event mapping."
SNAQ,SPECIES_MAP,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/speciesmap.txt,d924399feb2758e45f1641dd8f1f083b3725901e,228,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_TAXON_CONTRACT,READY,"Frozen 19-species subset; network-robust event claims are restricted to events fully represented here."
SNAQ,NETWORK_LIKELIHOOD_SERIES,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/likelihoods.txt,3f9ced00bc8fcb11094e3db977d505a97eabcfa4,137,SPECIES,19_SPECIES_NETWORK_SUBSET,NO_TRAIT_SELECTED_H,READY,"Freeze h=0..5 values; do not choose h using flower-colour or pigment outcomes."
SNAQ,NETWORK_H0,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/net0.tree,7b9513df3229bdc70aaf37175baa8a30d5e28e50,517,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_FAMILY_SENSITIVITY,READY,"hmax=0."
SNAQ,NETWORK_H1,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/net1.tree,f4b982767cd8e9254d40144270ad7d0d4065a32e,632,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_FAMILY_SENSITIVITY,READY,"hmax=1."
SNAQ,NETWORK_H2,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/net2.tree,32b33ab5d65a66232b2208b7b6457d8a77384a95,706,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_FAMILY_SENSITIVITY,READY,"hmax=2; selected network blob is identical to net3.tree in the pinned source."
SNAQ,NETWORK_H3,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/net3.tree,32b33ab5d65a66232b2208b7b6457d8a77384a95,706,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_FAMILY_SENSITIVITY,READY,"hmax=3; selected network blob is identical to net2.tree in the pinned source."
SNAQ,NETWORK_H4,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/net4.tree,d000fc45f44231cf7847af1ec4a1a750f5365a8f,915,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_FAMILY_SENSITIVITY,READY,"hmax=4."
SNAQ,NETWORK_H5,pedrohpezzi/Petunia-Calibrachoa-Fabiana_TreeDiscordance,0b33d5e992c39e191393bc0b86671c5c6a378e1e,Data/SNaQ/net5.tree,d375ae2b734bf2ca073ccea68f0b0b3c5bb2fb3c,993,SPECIES,19_SPECIES_NETWORK_SUBSET,NETWORK_FAMILY_SENSITIVITY,READY,"hmax=5."
