source_id,source_feature,source_role,yk10,sczv1,sczv2,biyun,huangdan,tieguanyin,dasz,longjing43,col,cch,crosswalk_status,notable_mapping,claim_boundary
CSA003949,DFR,anthocyanin_downstream,CSA003949.1,TEA024758.1,CSS0011557.1,GWHTAMJR004287,GWHTAZTZ010791,GWHTASIV011523,GWHTABKB020332,GWHTACFB015399,LG05G03664,GWHTBGBN031725,TPIA2_gene_id_convert_exact_row,,database/synteny-style ID conversion row; not by itself proof of sequence orthology or functional equivalence
CSA006950,FLS,flavonol,CSA006950.1,TEA010328.1,CSS0007745.1,GWHTAMJR023113,GWHTAZTZ028031,GWHTASIV029561,GWHTABKB031919,GWHTACFB031209,LG08G01647,GWHTBGBN033323,TPIA2_gene_id_convert_exact_row,"distinct from CSA008358 in YK10/SCZV1/SCZV2 but converges to the same CCH ID GWHTBGBN033323",database/synteny-style ID conversion row; preserve many-to-one patterns until sequence/synteny evidence is checked
CSA008358,FLS,flavonol,CSA008358.1,TEA016601.1,CSS0045924.1,GWHTAMJR005297,GWHTAZTZ011887,GWHTASIV012752,GWHTABKB031920,GWHTACFB016172,LG05G02350,GWHTBGBN033323,TPIA2_gene_id_convert_exact_row,"distinct from CSA006950 in YK10/SCZV1/SCZV2 but converges to the same CCH ID GWHTBGBN033323",database/synteny-style ID conversion row; preserve many-to-one patterns until sequence/synteny evidence is checked
CSA011508,AMBIGUOUS_ANS_LAR,annotation_conflict,CSA011508.1,TEA010322.1,CSS0010687.1,GWHTAMJR035100,GWHTAZTZ040416,GWHTASIV042309,GWHTABKB009174,GWHTACFB009118,LG13G01318,GWHTBGBN018224,TPIA2_gene_id_convert_exact_row,"source symbol conflict LAR/FLAR versus K05277/ANS-like remains quarantined",ID conversion resolves locus row but not functional annotation conflict
CSA011986,ANR,proanthocyanidin,CSA011986.1,TEA022960.1,CSS0005927.1,GWHTAMJR014030,GWHTAZTZ024248,GWHTASIV025272,GWHTABKB030287,GWHTACFB022597,LG09G00466,GWHTBGBN058576,TPIA2_gene_id_convert_exact_row,,database/synteny-style ID conversion row; not by itself proof of sequence orthology or functional equivalence
CSA018523,LAR,proanthocyanidin,CSA018523.1,TEA027582.1,CSS0009063.1,GWHTAMJR018280,GWHTAZTZ017936,GWHTASIV018909,GWHTABKB016845,GWHTACFB021129,LG03G00751,GWHTBGBN054261,TPIA2_gene_id_convert_exact_row,,database/synteny-style ID conversion row; not by itself proof of sequence orthology or functional equivalence
CSA019984,LAR,proanthocyanidin,CSA019984.1,TEA021535.1,CSS0034690.1,GWHTAMJR021475,GWHTAZTZ005260,GWHTASIV005526,GWHTABKB016604,GWHTACFB014187,LG04G01753,GWHTBGBN028764,TPIA2_gene_id_convert_exact_row,,database/synteny-style ID conversion row; not by itself proof of sequence orthology or functional equivalence
CSNG45659,DFR,anthocyanin_downstream,,,,,,,,,,,unresolved_not_in_gene_id_convert,"no row returned under any of the 10 TPIA2 source namespaces",requires separate CSNG namespace/source-assembly provenance
CSNG38209,DFR,anthocyanin_downstream,,,,,,,,,,,unresolved_not_in_gene_id_convert,"no row returned under any of the 10 TPIA2 source namespaces",requires separate CSNG namespace/source-assembly provenance
CSNG5035,LAR,proanthocyanidin,,,,,,,,,,,unresolved_not_in_gene_id_convert,"no row returned under any of the 10 TPIA2 source namespaces",requires separate CSNG namespace/source-assembly provenance
