accepted_taxon,source_run,source_artifact,source_artifact_sha256
Camellia crapnelliana,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia furfuracea,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia pubifurfuracea,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia gaudichaudii,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia mairei,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia pitardii,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia azalea,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia reticulata,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia polyodonta,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia saluenensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia subintegra,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia granthamiana,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia yunnanensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia sasanqua,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia hiemalis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia brevistyla,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia kissi,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia oleifera,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia drupifera,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia fluviatilis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia indochinensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia szechuanensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia hekouensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia ptilophylla,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia crispula,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia leptophylla,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
Camellia sinensis,32552618223,wfo53-ufboot-topology-sensitivity,e9d3a9f88dbbda7b8fa3bbe4d210c5665a2125b289b62639ea51c64614de9ed9
